Image_ID,class,confidence,ymin,xmin,ymax,xmax
04DZeTP47eXR,Flower_open,0.784923255443573,2749,2379,2891,2481
04DZeTP47eXR,Flower_open,0.780714750289917,2058,2364,2138,2476
04DZeTP47eXR,Flower_open,0.5875555872917175,2237,2174,2338,2244
04DZeTP47eXR,Flower_open,0.507794201374054,2136,1710,2202,1796
04DZeTP47eXR,Flower_open,0.4102095365524292,1307,2422,1400,2477
04DZeTP47eXR,Plant_bean,0.3947364091873169,2559,1408,4038,3060
04DZeTP47eXR,Flower_open,0.3740144670009613,3006,2423,3060,2478
04DZeTP47eXR,Flower_open,0.3699643909931183,3,2889,122,2990
04DZeTP47eXR,Flower_open,0.3690475821495056,939,1833,1012,1899
04DZeTP47eXR,Flower_open,0.3308063745498657,1263,2599,1325,2658
04DZeTP47eXR,Flower_closed,0.30819693207740784,1554,2025,1597,2068
04DZeTP47eXR,Plant_bean,0.27326756715774536,1464,1426,2859,3053
0DS8jgYtSBBk,Flower_open,0.7934021949768066,2825,1569,2891,1658
0DS8jgYtSBBk,Plant_bean,0.6986141204833984,240,720,2024,2974
0DS8jgYtSBBk,Flower_open,0.6532115936279297,1309,2136,1411,2229
0DS8jgYtSBBk,Plant_bean,0.39620617032051086,2262,590,3387,1884
0DS8jgYtSBBk,Plant_bean,0.39494454860687256,1599,613,3375,2266
0DS8jgYtSBBk,Flower_open,0.3302473723888397,1431,1730,1503,1801
0DS8jgYtSBBk,Flower_open,0.2630690932273865,2138,1776,2219,1873
0K6GblXEoSvq,Flower_open,0.7459760308265686,385,1398,481,1509
0K6GblXEoSvq,Flower_open,0.7021913528442383,1881,1860,1973,1933
0K6GblXEoSvq,Plant_bean,0.6818045973777771,0,477,1412,3060
0K6GblXEoSvq,Flower_open,0.6592490077018738,2135,1372,2199,1429
0K6GblXEoSvq,Flower_open,0.6485737562179565,1377,1357,1434,1429
0K6GblXEoSvq,Flower_open,0.5921775102615356,1550,1351,1623,1426
0K6GblXEoSvq,Flower_open,0.5742243528366089,948,1395,1053,1494
0K6GblXEoSvq,Plant_bean,0.5604619383811951,677,615,2265,2675
0K6GblXEoSvq,Flower_open,0.5020122528076172,475,1350,553,1425
0K6GblXEoSvq,Flower_open,0.4294716715812683,683,1323,808,1412
0K6GblXEoSvq,Plant_bean,0.4087989330291748,1869,726,2794,2126
0K6GblXEoSvq,Flower_open,0.2843908965587616,514,1471,559,1512
0K6GblXEoSvq,Plant_bean,0.25410187244415283,2690,845,4034,2206
0Qdv75WjEuSW,Plant_bean,0.8735742568969727,4,7,3838,2831
0Qdv75WjEuSW,Flower_open,0.6412315368652344,2898,745,3161,955
0accjDbwkgVu,Plant_bean,0.7448082566261292,2049,283,3764,2776
0accjDbwkgVu,Plant_bean,0.687984049320221,1186,1009,2039,1889
0accjDbwkgVu,Plant_bean,0.35940882563591003,0,990,1208,3060
0accjDbwkgVu,Flower_open,0.35931485891342163,2710,1845,2764,1909
0accjDbwkgVu,Plant_bean,0.2604076564311981,1970,278,3012,1378
0accjDbwkgVu,Plant_bean,0.2533385157585144,2181,1161,3230,2748
14C26pVubFM7,Plant_bean,0.6703189015388489,256,389,3987,2780
14C26pVubFM7,Plant_bean,0.47306323051452637,2681,1750,4000,2993
14C26pVubFM7,Plant_bean,0.39728832244873047,1375,1721,3925,3000
14C26pVubFM7,Plant_bean,0.3012140691280365,805,0,2759,877
16GITxN5UeZ8,Plant_bean,0.33150067925453186,152,10,3482,2864
17YhCttHMpUN,Plant_bean,0.8522331714630127,697,1118,2097,2160
17YhCttHMpUN,Plant_bean,0.825814962387085,2374,1077,3397,2165
17YhCttHMpUN,Flower_open,0.7246488332748413,2803,1539,2887,1608
17YhCttHMpUN,Flower_open,0.5171748995780945,1579,1764,1679,1837
17YhCttHMpUN,Flower_open,0.41687852144241333,1402,1813,1484,1867
17YhCttHMpUN,Flower_open,0.29260772466659546,1566,1747,1633,1801
18KwbkpTzdkj,Plant_bean,0.7873994708061218,928,419,1262,817
18KwbkpTzdkj,Flower_open,0.7785462141036987,440,501,462,521
18KwbkpTzdkj,Flower_open,0.7237550616264343,1082,688,1114,714
18KwbkpTzdkj,Flower_open,0.6849178671836853,514,635,537,655
18KwbkpTzdkj,Plant_bean,0.6262267827987671,2,280,491,807
18KwbkpTzdkj,Plant_bean,0.6172602772712708,685,441,966,841
18KwbkpTzdkj,Flower_open,0.5397412180900574,1116,652,1130,667
18KwbkpTzdkj,Plant_bean,0.5245229601860046,1162,447,1440,860
18KwbkpTzdkj,Flower_open,0.5239858031272888,62,455,92,482
18KwbkpTzdkj,Flower_open,0.5146113634109497,291,471,313,494
18KwbkpTzdkj,Flower_open,0.5074750781059265,264,539,290,563
18KwbkpTzdkj,Flower_open,0.4838210940361023,1064,766,1090,784
18KwbkpTzdkj,Flower_open,0.42520657181739807,292,470,320,505
18KwbkpTzdkj,Flower_closed,0.42372578382492065,1063,743,1077,757
18KwbkpTzdkj,Flower_open,0.39354151487350464,272,521,298,553
18KwbkpTzdkj,Flower_open,0.36903804540634155,344,635,362,655
18KwbkpTzdkj,Flower_open,0.36715051531791687,112,319,154,373
18KwbkpTzdkj,Flower_open,0.3645218312740326,289,563,310,582
18KwbkpTzdkj,Flower_closed,0.2982589900493622,1336,673,1353,688
18KwbkpTzdkj,Flower_open,0.2895532250404358,379,681,402,700
18KwbkpTzdkj,Flower_open,0.2789866030216217,99,592,126,610
18KwbkpTzdkj,Plant_bean,0.2752668559551239,364,367,641,681
18KwbkpTzdkj,Plant_bean,0.25816959142684937,554,425,797,856
18KwbkpTzdkj,Flower_open,0.25176653265953064,1383,628,1409,647
18WRdDDMHvIT,Plant_bean,0.8800269365310669,49,0,3986,3000
18WRdDDMHvIT,Flower_open,0.6990159153938293,1984,699,2150,908
18WRdDDMHvIT,Flower_open,0.3346635401248932,871,1369,957,1475
19CVZVotCQwR,Plant_bean,0.8728768229484558,2329,960,4080,2241
19CVZVotCQwR,Plant_bean,0.7603453993797302,729,687,2386,2058
19CVZVotCQwR,Flower_open,0.6724012494087219,3063,1578,3157,1681
19CVZVotCQwR,Flower_open,0.5874196887016296,1643,1291,1733,1370
19CVZVotCQwR,Flower_open,0.5688808560371399,3486,1745,3563,1820
19CVZVotCQwR,Flower_open,0.564460039138794,1598,1148,1697,1229
19CVZVotCQwR,Flower_closed,0.2848045825958252,3204,1540,3266,1602
1ULDonpCTXTQ,Plant_bean,0.703443169593811,29,154,2822,2642
1ULDonpCTXTQ,Plant_bean,0.6819309592247009,2063,1655,3428,3058
1r37cegu8lZC,Plant_bean,0.9219083189964294,797,572,2990,2986
1r37cegu8lZC,Flower_open,0.8353580832481384,2197,1305,2309,1403
1r37cegu8lZC,Plant_bean,0.767268717288971,824,3,2715,844
1r37cegu8lZC,Flower_closed,0.3588135838508606,2465,1621,2507,1660
1r37cegu8lZC,Flower_closed,0.3215145170688629,2490,1570,2541,1615
1r37cegu8lZC,Flower_closed,0.2953137755393982,2310,1482,2357,1525
25qD97uyUXMq,Flower_open,0.9295984506607056,1932,1427,2163,1609
25qD97uyUXMq,Plant_bean,0.6702952980995178,647,14,4590,2780
25qD97uyUXMq,Flower_closed,0.4664057493209839,3573,3169,3683,3277
25qD97uyUXMq,Flower_open,0.3956628441810608,1727,15,1877,229
25qD97uyUXMq,Flower_closed,0.35950949788093567,3575,3059,3636,3117
25qD97uyUXMq,Flower_open,0.34222152829170227,2323,1572,2417,1648
25qD97uyUXMq,Flower_closed,0.3229943811893463,1734,1316,1828,1384
25qD97uyUXMq,Plant_bean,0.31756898760795593,487,1540,4602,3468
2P8iLHKUZ6XY,Plant_bean,0.8944541811943054,435,979,2488,2546
2P8iLHKUZ6XY,Plant_bean,0.7232474684715271,817,0,2273,990
2P8iLHKUZ6XY,Flower_open,0.6975324749946594,1787,1421,1899,1551
2P8iLHKUZ6XY,Flower_open,0.5314288139343262,1817,1365,1902,1445
2P8iLHKUZ6XY,Flower_closed,0.30451542139053345,1995,1609,2063,1661
2bd5IPfSbjXJ,Plant_bean,0.6949877142906189,1054,246,2561,1875
2bd5IPfSbjXJ,Flower_open,0.5469855666160583,1573,1039,1652,1130
2bd5IPfSbjXJ,Flower_open,0.4700680673122406,1901,1499,1984,1574
2bd5IPfSbjXJ,Flower_open,0.46340036392211914,1816,1326,1875,1379
2bd5IPfSbjXJ,Plant_bean,0.4079650640487671,1244,1719,2162,2575
2gE9ka0i7cBG,Plant_bean,0.8898454904556274,2,0,4000,3000
2gE9ka0i7cBG,Flower_open,0.640413224697113,801,1213,1130,1457
2gE9ka0i7cBG,Flower_open,0.5386483669281006,1222,1796,1395,1963
2gE9ka0i7cBG,Flower_open,0.27825966477394104,2600,2048,2721,2168
2m1nxQFI8bd6,Plant_bean,0.6910314559936523,100,463,1981,3060
2m1nxQFI8bd6,Flower_open,0.3391299545764923,1350,1640,1418,1708
3FgXO4Cn4UQ9,Plant_bean,0.6306777596473694,64,0,3987,2988
3FgXO4Cn4UQ9,Plant_bean,0.6016666889190674,272,1599,2809,2999
3Fn5Drpc1Vm9,Plant_bean,0.7357788681983948,2316,1019,3493,2482
3Fn5Drpc1Vm9,Flower_open,0.727751612663269,3035,1260,3117,1373
3Fn5Drpc1Vm9,Plant_bean,0.7188059091567993,891,977,2007,2476
3Fn5Drpc1Vm9,Flower_open,0.690926194190979,2212,1410,2294,1484
3Fn5Drpc1Vm9,Flower_open,0.6500109434127808,1929,2570,2035,2663
3Fn5Drpc1Vm9,Flower_open,0.6262400150299072,1488,1678,1563,1781
3Fn5Drpc1Vm9,Flower_open,0.5127964615821838,1901,2417,1984,2490
3Fn5Drpc1Vm9,Plant_bean,0.494031697511673,0,1132,1278,3060
3Fn5Drpc1Vm9,Flower_open,0.40612858533859253,628,2368,740,2476
3Fn5Drpc1Vm9,Plant_bean,0.3053743839263916,690,1929,2613,3060
3Fn5Drpc1Vm9,Flower_open,0.30491405725479126,793,2648,893,2750
3O13mRf56FIP,Flower_open,0.6807648539543152,1882,1128,1986,1230
3O13mRf56FIP,Flower_open,0.635701596736908,1945,1065,2027,1143
3O13mRf56FIP,Plant_bean,0.62647545337677,993,682,2460,1755
3O13mRf56FIP,Flower_open,0.5722998380661011,73,1248,160,1332
3O13mRf56FIP,Plant_bean,0.5215306878089905,829,3,2452,830
3O13mRf56FIP,Flower_open,0.33579376339912415,1605,48,1678,115
3SMvzYLeHwQY,Plant_bean,0.8381679654121399,33,89,3332,3054
3SMvzYLeHwQY,Flower_open,0.6634405255317688,2390,1489,2570,1575
3SMvzYLeHwQY,Flower_open,0.5579730272293091,1158,2853,1312,2947
3SMvzYLeHwQY,Flower_open,0.5577206611633301,1012,1797,1114,1916
3SMvzYLeHwQY,Flower_open,0.45175686478614807,322,847,449,996
3SMvzYLeHwQY,Flower_open,0.42405208945274353,255,359,386,458
3SMvzYLeHwQY,Flower_open,0.2798503041267395,155,181,218,268
3SMvzYLeHwQY,Flower_open,0.2791242003440857,1832,1848,1924,1943
3h0X5r6WBmWg,Flower_open,0.8895018100738525,1447,1786,1528,1870
3h0X5r6WBmWg,Flower_open,0.7060574889183044,2920,1398,3000,1465
3h0X5r6WBmWg,Plant_bean,0.5156062245368958,2207,64,4079,2813
3h0X5r6WBmWg,Plant_bean,0.505635142326355,848,788,2067,2418
3h0X5r6WBmWg,Plant_bean,0.49268287420272827,1275,0,1919,595
3h0X5r6WBmWg,Flower_open,0.4514920115470886,3725,2219,3794,2297
3h0X5r6WBmWg,Plant_bean,0.2823558747768402,1766,1084,2782,2411
3qlxX0lDk6Fb,Flower_open,0.6673496961593628,1123,799,1276,881
3qlxX0lDk6Fb,Flower_open,0.6641656160354614,1039,2694,1163,2819
3qlxX0lDk6Fb,Flower_open,0.6621149182319641,2223,2793,2309,2903
3qlxX0lDk6Fb,Plant_bean,0.6337948441505432,139,536,3398,2778
3qlxX0lDk6Fb,Flower_open,0.6155887246131897,2007,1441,2107,1569
3qlxX0lDk6Fb,Flower_open,0.6062455773353577,2092,1228,2185,1327
3qlxX0lDk6Fb,Plant_bean,0.361613929271698,115,1851,3094,3049
4MUnh199SzKl,Plant_bean,0.643528938293457,2434,940,3896,3054
4Q5lVDBivrTD,Plant_bean,0.9033870100975037,0,0,4000,3000
4Q5lVDBivrTD,Flower_open,0.6821185350418091,2341,820,2590,1056
4Q5lVDBivrTD,Flower_open,0.5831201672554016,2006,945,2166,1053
4Q5lVDBivrTD,Flower_closed,0.5819349884986877,1914,936,1980,1025
4Q5lVDBivrTD,Flower_open,0.4369952976703644,2247,1535,2332,1665
4Q5lVDBivrTD,Plant_bean,0.4140836000442505,3004,2,3998,1891
4Q5lVDBivrTD,Flower_open,0.2890632152557373,1558,869,1667,1020
4ol4UjrcZakW,Flower_open,0.6577619910240173,1198,1465,1293,1528
4ol4UjrcZakW,Plant_bean,0.5507109761238098,2435,177,3497,2220
4ol4UjrcZakW,Plant_bean,0.4284419119358063,1053,1015,1909,1751
4ol4UjrcZakW,Flower_open,0.41106006503105164,1463,1280,1512,1325
4vgdWwrrItdQ,Plant_bean,0.9359637498855591,1174,741,3014,2504
4vgdWwrrItdQ,Flower_open,0.8135932683944702,2167,1426,2288,1563
4wm5eH9zYhBl,Plant_bean,0.8598760962486267,498,494,2880,2612
4wm5eH9zYhBl,Flower_open,0.595055341720581,1919,1174,2040,1256
5HOOUmaTFGhL,Plant_bean,0.7538278102874756,314,0,3858,3000
5HOOUmaTFGhL,Flower_open,0.5478950142860413,1608,1841,1748,1986
5HOOUmaTFGhL,Flower_open,0.35031840205192566,2167,594,2233,735
5HOOUmaTFGhL,Flower_open,0.27057769894599915,2707,1440,2836,1558
5HOOUmaTFGhL,Flower_closed,0.2538401484489441,1731,1625,1808,1695
5NfM2sTOyFxN,Plant_bean,0.9132571816444397,1142,316,3052,2645
5NfM2sTOyFxN,Flower_open,0.42973342537879944,1906,1096,1980,1207
5NfM2sTOyFxN,Flower_open,0.4171905815601349,1753,1518,1850,1595
5UVUfprxZVRh,Flower_open,0.6764781475067139,1795,1627,1875,1717
5UVUfprxZVRh,Plant_bean,0.6487706303596497,2421,1140,3429,2248
5UVUfprxZVRh,Plant_bean,0.6438660025596619,327,922,2290,2565
5UVUfprxZVRh,Flower_open,0.6307986974716187,2628,1901,2724,1982
5UVUfprxZVRh,Flower_open,0.35634055733680725,1057,1738,1129,1827
5UVUfprxZVRh,Flower_open,0.25433802604675293,3153,1633,3229,1688
5kSb52RHV4hi,Plant_bean,0.8020459413528442,2290,260,3545,2002
5kSb52RHV4hi,Plant_bean,0.5964215397834778,349,827,2634,2672
5kSb52RHV4hi,Flower_open,0.5600515007972717,1305,1950,1370,2003
5kSb52RHV4hi,Flower_open,0.4126184284687042,2956,1253,3050,1330
5kSb52RHV4hi,Flower_open,0.33406421542167664,2186,2746,2243,2813
5kSb52RHV4hi,Flower_open,0.3159581124782562,2953,1240,3022,1309
5kSb52RHV4hi,Flower_open,0.30954232811927795,1574,1482,1650,1580
5kSb52RHV4hi,Flower_open,0.2750038206577301,1503,2011,1569,2064
5mO21mLW7elW,Plant_bean,0.8761969804763794,670,25,2777,2422
5mO21mLW7elW,Flower_open,0.6888448596000671,1420,899,1559,996
5mO21mLW7elW,Flower_open,0.5383687019348145,2132,1327,2227,1417
61pr5ZsWarhm,Plant_bean,0.7156976461410522,1748,1131,2711,2102
